respondent_id,age,gender_id,country_id,company_id
1,27.0,21.0,69.0,8.0
2,31.0,102.0,69.0,8.0
3,36.0,102.0,70.0,11.0
4,22.0,45.0,70.0,12.0
5,52.0,91.0,70.0,
6,30.0,102.0,70.0,8.0
7,36.0,18.0,70.0,11.0
8,38.0,21.0,70.0,9.0
9,35.0,45.0,65.0,2.0
10,36.0,102.0,31.0,
11,40.0,40.0,70.0,2.0
12,35.0,45.0,70.0,8.0
13,23.0,45.0,54.0,12.0
14,22.0,21.0,70.0,12.0
15,34.0,91.0,70.0,9.0
16,28.0,45.0,70.0,2.0
17,38.0,102.0,7.0,3.0
18,53.0,45.0,70.0,
19,21.0,45.0,25.0,11.0
20,35.0,18.0,69.0,6.0
21,22.0,45.0,69.0,11.0
22,18.0,45.0,69.0,2.0
23,37.0,91.0,70.0,3.0
24,25.0,45.0,69.0,7.0
25,40.0,102.0,13.0,8.0
26,33.0,45.0,34.0,11.0
27,66.0,18.0,70.0,6.0
28,31.0,91.0,70.0,2.0
29,32.0,45.0,13.0,2.0
30,46.0,40.0,70.0,
31,30.0,91.0,70.0,8.0
32,31.0,52.0,70.0,8.0
33,46.0,45.0,30.0,8.0
34,29.0,,13.0,
35,28.0,89.0,70.0,6.0
36,34.0,21.0,36.0,5.0
37,25.0,45.0,70.0,9.0
38,35.0,45.0,70.0,2.0
39,25.0,,32.0,
40,40.0,102.0,70.0,8.0
41,32.0,40.0,70.0,2.0
42,39.0,45.0,70.0,2.0
43,33.0,102.0,70.0,10.0
44,40.0,45.0,70.0,8.0
45,42.0,102.0,70.0,10.0
46,32.0,45.0,70.0,6.0
47,27.0,21.0,70.0,6.0
48,43.0,21.0,69.0,
49,30.0,91.0,32.0,5.0
50,39.0,102.0,70.0,3.0
51,42.0,21.0,70.0,11.0
52,37.0,30.0,13.0,11.0
53,38.0,21.0,70.0,4.0
54,47.0,45.0,69.0,12.0
55,64.0,102.0,69.0,10.0
56,28.0,45.0,13.0,2.0
57,45.0,45.0,70.0,
58,37.0,40.0,69.0,8.0
59,30.0,21.0,69.0,9.0
60,25.0,45.0,69.0,2.0
61,25.0,21.0,69.0,9.0
62,54.0,21.0,70.0,
63,61.0,45.0,69.0,10.0
64,26.0,102.0,31.0,12.0
65,44.0,21.0,70.0,6.0
66,26.0,102.0,52.0,11.0
67,26.0,21.0,52.0,9.0
68,35.0,91.0,70.0,11.0
69,45.0,45.0,70.0,9.0
70,23.0,45.0,70.0,9.0
71,44.0,45.0,70.0,6.0
72,38.0,102.0,70.0,6.0
73,46.0,45.0,70.0,4.0
74,27.0,60.0,70.0,4.0
75,39.0,91.0,70.0,2.0
76,33.0,22.0,70.0,9.0
77,38.0,91.0,70.0,
78,35.0,45.0,69.0,3.0
79,32.0,102.0,18.0,12.0
80,26.0,21.0,70.0,12.0
81,50.0,85.0,70.0,8.0
82,31.0,45.0,70.0,8.0
83,46.0,45.0,53.0,12.0
84,30.0,45.0,70.0,9.0
85,30.0,43.0,70.0,12.0
86,34.0,102.0,25.0,8.0
87,42.0,45.0,69.0,6.0
88,24.0,21.0,70.0,12.0
89,30.0,45.0,70.0,
90,23.0,45.0,13.0,9.0
91,31.0,91.0,70.0,8.0
92,31.0,102.0,22.0,9.0
93,27.0,72.0,70.0,8.0
94,26.0,45.0,49.0,
95,52.0,21.0,70.0,4.0
96,28.0,45.0,9.0,
97,37.0,102.0,70.0,7.0
98,37.0,102.0,13.0,4.0
99,38.0,45.0,70.0,6.0
100,57.0,21.0,70.0,
101,34.0,45.0,70.0,12.0
102,38.0,91.0,25.0,12.0
103,30.0,45.0,70.0,9.0
104,52.0,45.0,70.0,6.0
105,31.0,21.0,70.0,
106,29.0,45.0,25.0,
107,26.0,21.0,69.0,11.0
108,29.0,91.0,70.0,3.0
109,44.0,45.0,70.0,12.0
110,18.0,105.0,13.0,
111,42.0,45.0,5.0,12.0
112,30.0,45.0,70.0,5.0
113,29.0,40.0,70.0,8.0
114,27.0,21.0,70.0,12.0
115,39.0,45.0,70.0,12.0
116,40.0,91.0,70.0,8.0
117,36.0,91.0,70.0,12.0
118,48.0,91.0,70.0,
119,43.0,102.0,70.0,12.0
120,38.0,52.0,70.0,8.0
121,42.0,45.0,70.0,9.0
122,46.0,45.0,69.0,10.0
123,30.0,102.0,70.0,6.0
124,25.0,45.0,69.0,5.0
125,28.0,,13.0,10.0
126,24.0,21.0,25.0,8.0
127,26.0,102.0,69.0,7.0
128,43.0,79.0,70.0,12.0
129,25.0,21.0,70.0,6.0
130,34.0,102.0,70.0,6.0
131,28.0,91.0,70.0,9.0
132,27.0,45.0,61.0,9.0
133,22.0,45.0,31.0,9.0
134,24.0,91.0,53.0,9.0
135,33.0,91.0,49.0,
136,41.0,100.0,25.0,
137,26.0,21.0,69.0,9.0
138,39.0,45.0,70.0,
139,24.0,102.0,70.0,7.0
140,54.0,45.0,70.0,12.0
141,47.0,100.0,70.0,6.0
142,33.0,45.0,64.0,12.0
143,30.0,,70.0,8.0
144,48.0,45.0,70.0,6.0
145,35.0,102.0,70.0,12.0
146,34.0,45.0,70.0,3.0
147,31.0,45.0,57.0,
148,25.0,102.0,70.0,10.0
149,48.0,102.0,62.0,12.0
150,34.0,45.0,70.0,2.0
151,42.0,40.0,70.0,8.0
152,27.0,45.0,70.0,8.0
153,33.0,21.0,70.0,12.0
